법정동코드,category_group_code,count
1114011200,PK6,6
1114011200,BK9,7
1114011200,FD6,10
1114011200,CE7,6
1114011200,HP8,9
1114011200,PM9,6
1114011300,CS2,3
1114011300,MT1,0
1114011300,PK6,1
1114011300,BK9,1
1114011300,FD6,10
1114011300,CE7,3
1114011300,HP8,0
1114011300,PM9,1
1114011400,CS2,5
1114011400,MT1,0
1114011400,PK6,2
1114011400,BK9,4
1114011400,FD6,4
1114011400,CE7,8
1114011400,HP8,3
1114011400,PM9,2
1114011500,CS2,0
1114011500,MT1,0
1114011500,PK6,1
1114011500,BK9,1
1114011500,FD6,0
1114011500,CE7,0
1114011500,HP8,1
1114011500,PM9,1
1114011600,CS2,0
1114011600,MT1,0
1114011600,PK6,0
1114011600,BK9,1
1114011600,FD6,2
1114011600,CE7,0
1114011600,HP8,0
1114011600,PM9,3
1114011700,CS2,3
1114011700,MT1,0
1114011700,PK6,5
1114011700,BK9,5
1114011700,FD6,2
1114011700,CE7,3
1114011700,HP8,1
1114011700,PM9,2
1114011800,CS2,11
1114011800,MT1,0
1114011800,PK6,8
1114011800,BK9,5
1114011800,FD6,7
1114011800,CE7,8
1114011800,HP8,14
1114011800,PM9,5
1114011900,CS2,2
1114011900,MT1,0
1114011900,PK6,1
1114011900,BK9,0
1114011900,FD6,1
1114011900,CE7,2
1114011900,HP8,3
1114011900,PM9,0
1114012000,CS2,1
1114012000,MT1,1
1114012000,PK6,2
1114012000,BK9,1
1114012000,FD6,3
1114012000,CE7,4
1114012000,HP8,0
1114012000,PM9,1
1114012100,CS2,7
1114012100,MT1,0
1114012100,PK6,12
1114012100,BK9,4
1114012100,FD6,7
1114012100,CE7,8
1114012100,HP8,4
1114012100,PM9,2
1114012200,CS2,2
1114012200,MT1,0
1114012200,PK6,2
1114012200,BK9,4
1114012200,FD6,0
1114012200,CE7,3
1114012200,HP8,1
1114012200,PM9,0
1114012300,CS2,1
1114012300,MT1,0
1114012300,PK6,0
1114012300,BK9,0
1114012300,FD6,0
1114012300,CE7,1
1114012300,HP8,0
1114012300,PM9,0
1114012400,CS2,5
1114012400,MT1,0
1114012400,PK6,3
1114012400,BK9,2
1114012400,FD6,3
1114012400,CE7,4
1114012400,HP8,3
1114012400,PM9,5
1114012500,CS2,6
1114012500,MT1,0
1114012500,PK6,5
1114012500,BK9,2
1114012500,FD6,4
1114012500,CE7,7
1114012500,HP8,5
1114012500,PM9,4
1114012600,CS2,3
1114012600,MT1,0
1114012600,PK6,2
1114012600,BK9,2
1114012600,FD6,7
1114012600,CE7,3
1114012600,HP8,5
1114012600,PM9,4
1114012700,CS2,2
